fullname,filename,year,qter,type,format
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2016_Q1Q2/Divvy_Trips_2016_Q1Q2/Divvy_Trips_2016_Q1.csv,Divvy_Trips_2016_Q1.csv,2016,Q1,A,%m/%d/%Y %H:%M
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2016_Q1Q2/Divvy_Trips_2016_Q1Q2/Divvy_Trips_2016_06.csv,Divvy_Trips_2016_06.csv,2016,Q2,A,%m/%d/%Y %H:%M
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2016_Q1Q2/Divvy_Trips_2016_Q1Q2/Divvy_Trips_2016_05.csv,Divvy_Trips_2016_05.csv,2016,Q2,A,%m/%d/%Y %H:%M
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2016_Q1Q2/Divvy_Trips_2016_Q1Q2/Divvy_Trips_2016_04.csv,Divvy_Trips_2016_04.csv,2016,Q2,A,%m/%d/%Y %H:%M
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2016_Q3Q4/Divvy_Trips_2016_Q3.csv,Divvy_Trips_2016_Q3.csv,2016,Q3,A,%m/%d/%Y %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2016_Q3Q4/Divvy_Trips_2016_Q4.csv,Divvy_Trips_2016_Q4.csv,2016,Q4,A,%m/%d/%Y %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2017_Q1Q2/Divvy_Trips_2017_Q1.csv,Divvy_Trips_2017_Q1.csv,2017,Q1,A,%m/%d/%Y %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2017_Q1Q2/Divvy_Trips_2017_Q2.csv,Divvy_Trips_2017_Q2.csv,2017,Q2,A,%m/%d/%Y %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2017_Q3Q4/Divvy_Trips_2017_Q3.csv,Divvy_Trips_2017_Q3.csv,2017,Q3,A,%m/%d/%Y %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2017_Q3Q4/Divvy_Trips_2017_Q4.csv,Divvy_Trips_2017_Q4.csv,2017,Q4,A,%m/%d/%Y %H:%M
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2018_Q1/Divvy_Trips_2018_Q1.csv,Divvy_Trips_2018_Q1.csv,2018,Q1,A,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2018_Q2/Divvy_Trips_2018_Q2.csv,Divvy_Trips_2018_Q2.csv,2018,Q2,A,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2018_Q3/Divvy_Trips_2018_Q3.csv,Divvy_Trips_2018_Q3.csv,2018,Q3,A,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2018_Q4/Divvy_Trips_2018_Q4.csv,Divvy_Trips_2018_Q4.csv,2018,Q4,A,%Y-%m-%d %H:%M:%S
